,Target.Location.lat,Target.Location.lon,Target.Identification.cdifid,Target.Identification.number,Target.Identification.description,Target.Detection.detecttime,Target.Detection.classification
53671,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 13:48:12,Seismic People
53678,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 14:38:06,Seismic People
53690,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2022/12/31 16:17:04,Seismic People
53761,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 03:06:56,Human Voice
53762,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 03:08:09,Human Voice
53764,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 03:11:26,Human Voice
53766,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 03:32:16,Human Voice
53770,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 03:45:37,Human Voice
53771,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 03:46:40,Human Voice
53772,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 03:47:35,Human Voice
53774,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 03:54:11,Human Voice
53778,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 04:31:48,Human Voice
53779,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 04:31:20,Human Voice
53780,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 04:30:52,Human Voice
53781,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 04:30:21,Human Voice
53782,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 04:29:09,Human Voice
53783,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 04:28:24,Human Voice
53784,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 04:27:48,Human Voice
53785,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 04:27:07,Human Voice
53786,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 04:26:34,Human Voice
53787,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 04:25:50,Human Voice
53788,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 04:25:22,Human Voice
53789,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 04:24:45,Human Voice
53790,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 04:24:11,Human Voice
53791,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 04:23:38,Human Voice
53792,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 04:23:05,Human Voice
53793,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 04:22:27,Human Voice
53794,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 04:21:53,Human Voice
53795,-1.20511,41.2686,25.0.1.5,Iridium Ranger 10261,Iridium Ranger 10261,2023/01/01 04:21:23,Human Voice
